text;proc_text;A1;A2;A3;A4;A5;A6;majority_vote;roundID;Segment;WC;Analytic;Clout;Authentic;Tone;WPS;BigWords;Dic;Linguistic;function;pronoun;ppron;i;we;you;shehe;they;ipron;det;article;number;prep;auxverb;adverb;conj;negate;verb;adj;quantity;Drives;affiliation;achieve;power;Cognition;allnone;cogproc;insight;cause;discrep;tentat;certitude;differ;memory;Affect;tone_pos;tone_neg;emotion;emo_pos;emo_neg;emo_anx;emo_anger;emo_sad;swear;Social;socbehav;prosocial;polite;conflict;moral;comm;socrefs;family;friend;female;male;Culture;politic;ethnicity;tech;Lifestyle;leisure;home;work;money;relig;Physical;health;illness;wellness;mental;substances;sexual;food;death;need;want;acquire;lack;fulfill;fatigue;reward;risk;curiosity;allure;Perception;attention;motion;space;visual;auditory;feeling;time;focuspast;focuspresent;focusfuture;Conversation;netspeak;assent;nonflu;filler;AllPunc;Period;Comma;QMark;Exclam;Apostro;OtherP;Emoji
Once this is over, it’s going to take me a while before I will ever shake hands with or hug someone ever again... *traumatised* :grimacing: #coronavirus #CoronavirusLockdownUK;Once this is over, it’s going to take me a while before I will ever shake hands with or hug someone ever again... *traumatised* :grimacing: #coronavirus #CoronavirusLockdownUK;UN;PO;PP;PP;PP;PP;PP;Round1;1;26;4.85;7.93;99;20.23;13;15.38;96.15;80.77;69.23;19.23;7.69;7.69;0;0;0;0;11.54;11.54;3.85;3.85;15.38;11.54;15.38;11.54;0;26.92;0;3.85;3.85;3.85;0;0;15.38;7.69;7.69;0;0;0;7.69;0;3.85;0;7.69;3.85;3.85;3.85;0;3.85;0;0;0;0;15.38;11.54;0;7.69;0;0;0;3.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.38;7.69;3.85;0;3.85;0;0;0;0;0;0;3.85;0;0;0;0;0;0;3.85;11.54;0;7.69;3.85;0;0;0;23.08;0;7.69;11.54;0;0;0;0;0;34.62;11.54;3.85;0;0;3.85;15.38;3.85
#BlackWidow is back on the schedule! Now if I can just make it through the next 7 months without dying... #covid19 #fear #anxiety #panic #agoraphobia #ScarlettJohansson #MCU @MarvelStudios;#BlackWidow is back on the schedule! Now if I can just make it through the next 7 months without dying... #covid19 #fear #anxiety #panic #agoraphobia #ScarlettJohansson #MCU @MarvelStudios;UN;PP;PP;PP;PP;PP;PP;Round1;1;28;67.11;3.12;89.39;1;9.33;32.14;89.29;53.57;42.86;7.14;3.57;3.57;0;0;0;0;3.57;7.14;7.14;7.14;10.71;7.14;10.71;3.57;0;10.71;3.57;3.57;0;0;0;0;14.29;0;14.29;0;3.57;3.57;3.57;0;7.14;0;14.29;3.57;10.71;10.71;0;10.71;10.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.57;0;0;3.57;0;0;7.14;3.57;0;0;3.57;0;0;0;3.57;0;0;0;0;0;0;0;0;0;10.71;3.57;0;0;3.57;0;0;0;14.29;0;10.71;0;0;0;0;0;0;46.43;10.71;0;0;3.57;0;32.14;0
Trump really serious rn thinking he gonna reopen the economy May 1st. I’m gonna have a panic attack people are legit going to die. I’m staying my ass in the house till Christmas :christmas_tree: #BreakingNews #5G #coronavirus #COVID19 #CoronavirusPandemic;Trump really serious rn thinking he gonna reopen the economy May 1st. I’m gonna have a panic attack people are legit going to die. I’m staying my ass in the house till Christmas :christmas_tree: #BreakingNews #5G #coronavirus #COVID19 #CoronavirusPandemic;PP;UN;PP;PP;PO;PP;PP;Round1;1;38;60.19;7.5;84.38;2.53;12.67;23.68;89.47;60.53;44.74;10.53;10.53;7.89;0;0;2.63;0;0;13.16;7.89;10.53;13.16;15.79;5.26;2.63;0;28.95;5.26;2.63;0;0;0;0;5.26;0;5.26;2.63;0;0;0;2.63;0;0;10.53;2.63;5.26;5.26;0;5.26;5.26;0;0;2.63;2.63;0;0;0;0;0;0;2.63;0;0;0;2.63;0;0;0;0;7.89;0;2.63;0;2.63;2.63;13.16;7.89;2.63;0;5.26;0;0;0;2.63;0;0;0;0;0;0;0;0;0;5.26;5.26;0;0;5.26;0;0;0;10.53;0;10.53;10.53;10.53;10.53;0;0;0;23.68;5.26;0;0;0;5.26;13.16;2.63
Please stop being so horrible to grocery store/ essential employees....I’m currently on a leave of absence because I would have panic attacks on my break daily, crying in my car. This isn’t our fault. Be nice. #COVID19 #EssentialWorkers #coronavirus;Please stop being so horrible to grocery store/ essential employees....I’m currently on a leave of absence because I would have panic attacks on my break daily, crying in my car. This isn’t our fault. Be nice. #COVID19 #EssentialWorkers #coronavirus;PP;PP;?;PO;PP;PP;PP;Round1;1;40;20.35;15.75;78.67;1;10;27.5;95;65;50;15;12.5;10;2.5;0;0;0;2.5;12.5;2.5;2.5;12.5;15;5;5;2.5;20;10;0;5;5;0;0;7.5;0;7.5;0;2.5;2.5;0;0;2.5;0;17.5;2.5;15;7.5;0;7.5;5;0;2.5;0;12.5;10;2.5;2.5;0;5;2.5;7.5;0;0;0;0;2.5;0;0;2.5;5;0;0;2.5;2.5;0;10;7.5;2.5;0;5;0;0;2.5;0;2.5;0;0;2.5;0;0;0;0;0;5;5;0;2.5;2.5;0;0;0;7.5;0;7.5;0;0;0;0;0;0;35;17.5;2.5;0;0;5;10;0
"From my own experience with #anxiety and panic attacks, blame, fighting others, avoiding the feelings, does not help. It merely puts off what needs to be faced. https://t.co/oO0BpL45q9

#Coronavirus #covidー19uk https://t.co/3NT5wtvheE";"From my own experience with #anxiety and panic attacks, blame, fighting others, avoiding the feelings, does not help. It merely puts off what needs to be faced. 

#Coronavirus #covidー19uk ";PP;PO;PP;PO;PP;PP;PP;Round1;1;29;58.3;1;21.61;1;9.67;27.59;93.1;55.17;48.28;13.79;3.45;3.45;0;0;0;0;10.34;6.9;3.45;3.45;13.79;6.9;3.45;3.45;3.45;13.79;0;0;6.9;3.45;0;3.45;17.24;0;17.24;3.45;0;3.45;0;3.45;6.9;0;20.69;3.45;17.24;10.34;0;10.34;10.34;0;0;0;10.34;10.34;3.45;0;3.45;3.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.34;10.34;3.45;0;6.9;0;0;0;0;3.45;0;0;0;0;0;0;3.45;0;0;6.9;0;3.45;0;0;0;3.45;0;0;10.34;0;0;0;0;0;0;31.03;6.9;13.79;0;0;0;10.34;0
"I want to convince my father to stay at home and take the precautionary measures but I am not Frank with him and can't talk What should i do? Because of this I keep having panic attacks
#PakistanFightsCorona #COVID19 #coronavirus #COVID2019 #lockdownpakistan";"I want to convince my father to stay at home and take the precautionary measures but I am not Frank with him and can't talk What should i do? Because of this I keep having panic attacks
#PakistanFightsCorona #COVID19 #coronavirus #COVID2019 #lockdownpakistan";PP;PO;PP;PP;PP;PP;PP;Round1;1;42;13.76;1;39.59;3.2;21;23.81;88.1;69.05;57.14;19.05;14.29;11.9;0;0;2.38;0;4.76;7.14;2.38;4.76;11.9;11.9;0;9.52;4.76;23.81;0;0;2.38;2.38;0;0;16.67;0;16.67;2.38;2.38;7.14;0;0;7.14;0;7.14;2.38;4.76;4.76;0;4.76;4.76;0;0;0;9.52;4.76;0;0;0;0;2.38;4.76;2.38;0;0;4.76;0;0;0;0;2.38;0;2.38;0;0;0;7.14;7.14;2.38;0;4.76;0;0;0;0;0;2.38;2.38;0;0;0;0;0;0;9.52;4.76;0;0;4.76;0;0;0;0;0;4.76;0;0;0;0;0;0;16.67;0;0;2.38;0;2.38;11.9;0
"Heard countries have done/are considering extending #lockdown by a month+ makes me panic for many reasons; #poverty &amp; #mentalhealth is already rife, there will be a huge rise in addiction, obesity &amp; suicide, etc. When #covid19 ends there’ll be dead bodies in many places!! :disappointed_relieved:";"Heard countries have done/are considering extending #lockdown by a month+ makes me panic for many reasons; #poverty &amp; #mentalhealth is already rife, there will be a huge rise in addiction, obesity &amp; suicide, etc. When #covid19 ends there’ll be dead bodies in many places!! :disappointed_relieved:";PP;PO;?;PP;?;?;NoMajority;Round1;1;45;59.67;27.89;97.42;3.72;15;28.89;82.22;57.78;42.22;2.22;2.22;2.22;0;0;0;0;0;8.89;4.44;2.22;8.89;15.56;6.67;2.22;0;24.44;8.89;8.89;2.22;0;0;2.22;6.67;0;6.67;4.44;4.44;0;0;0;0;0;2.22;0;2.22;2.22;0;2.22;2.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.22;0;0;0;2.22;0;11.11;6.67;2.22;0;4.44;0;0;2.22;4.44;0;0;0;2.22;0;0;0;0;0;2.22;15.56;0;2.22;11.11;0;2.22;0;8.89;6.67;6.67;2.22;0;0;0;0;0;40;2.22;6.67;0;4.44;2.22;24.44;2.22
"The COVId 19 panic is so real that if someone found a lump on their body, their first thought would perhaps be ""Is it COVID??""! 

COVID's making all other diseases look chill. :skull_crossbones:

#hardtruths #COVID19
#TuesdayThoughts
#pandemic";"The COVId 19 panic is so real that if someone found a lump on their body, their first thought would perhaps be ""Is it COVID??""! 

COVID's making all other diseases look chill. :skull_crossbones:

#hardtruths #COVID19
#TuesdayThoughts
#pandemic";PO;PP;PO;PO;PO;UN;PO;Round1;1;36;19.76;56.63;10.18;1;12;22.22;88.89;63.89;50;13.89;5.56;0;0;0;0;5.56;8.33;22.22;5.56;8.33;2.78;11.11;5.56;5.56;0;22.22;8.33;5.56;0;0;0;0;27.78;2.78;25;5.56;2.78;2.78;8.33;2.78;5.56;0;5.56;0;5.56;2.78;0;2.78;2.78;0;0;0;8.33;0;0;0;0;0;0;8.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.67;13.89;13.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.56;2.78;2.78;0;0;2.78;0;0;2.78;2.78;5.56;0;0;0;0;0;0;33.33;2.78;2.78;5.56;2.78;2.78;16.67;0
"I'm done being polite to the panic-pushing, great depression creating set. 

You own the enormous wave of economic misery and death you're inflicting on us. 

#coronavirus #CoronaFascism #endthelockdownnow";"I'm done being polite to the panic-pushing, great depression creating set. 

You own the enormous wave of economic misery and death you're inflicting on us. 

#coronavirus #CoronaFascism #endthelockdownnow";PO;PO;PO;PO;PO;PO;PO;Round1;1;28;56.86;99;2.36;1;9.33;32.14;89.29;57.14;42.86;14.29;14.29;3.57;3.57;7.14;0;0;0;7.14;7.14;0;10.71;14.29;0;3.57;0;17.86;10.71;3.57;14.29;3.57;3.57;7.14;3.57;0;3.57;0;3.57;0;0;0;0;0;17.86;3.57;14.29;10.71;0;10.71;3.57;0;3.57;0;17.86;7.14;3.57;3.57;3.57;0;0;10.71;0;0;0;0;0;0;0;0;3.57;0;0;0;3.57;0;10.71;7.14;3.57;0;3.57;0;0;0;3.57;0;0;0;0;0;0;0;0;3.57;3.57;3.57;0;3.57;0;0;0;0;0;3.57;7.14;0;0;0;0;0;0;32.14;7.14;3.57;0;0;7.14;14.29;0
I had to take some time off of work because I was having a hard time wearing a mask and not remembering I was wearing it. Yesterday I got sent home because I started having a panic attack and couldn't calm myself down or breathe. And I think it happened for the best. #coronavirus;I had to take some time off of work because I was having a hard time wearing a mask and not remembering I was wearing it. Yesterday I got sent home because I started having a panic attack and couldn't calm myself down or breathe. And I think it happened for the best. #coronavirus;PP;PP;PP;PP;PP;PP;PP;Round1;1;54;23.88;1;92.16;5.19;13.5;20.37;98.15;81.48;59.26;16.67;12.96;12.96;0;0;0;0;3.7;9.26;7.41;0;9.26;11.11;0;11.11;3.7;29.63;5.56;1.85;3.7;0;3.7;0;12.96;0;12.96;3.7;3.7;1.85;1.85;0;3.7;1.85;5.56;1.85;3.7;5.56;1.85;3.7;3.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.7;0;1.85;1.85;0;0;7.41;5.56;1.85;0;3.7;0;0;0;0;3.7;0;3.7;0;0;0;0;0;0;9.26;5.56;0;0;3.7;0;0;1.85;3.7;16.67;0;0;0;0;0;0;0;9.26;5.56;0;0;0;1.85;1.85;0
Had a hole panic attack on Saturday thinking I had #COVID19 turns out it was seasonal allergies trying to take me out;Had a hole panic attack on Saturday thinking I had #COVID19 turns out it was seasonal allergies trying to take me out;PP;PO;PP;PP;PP;PP;PP;Round1;1;22;81.89;5.27;99;1;22;22.73;95.45;68.18;50;13.64;9.09;9.09;0;0;0;0;4.55;4.55;4.55;4.55;18.18;13.64;0;0;0;31.82;0;0;4.55;0;4.55;0;9.09;0;9.09;4.55;0;4.55;0;0;0;0;9.09;0;9.09;9.09;0;9.09;9.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.64;13.64;4.55;0;9.09;0;0;0;0;0;0;4.55;0;0;0;0;0;0;13.64;13.64;0;4.55;9.09;0;0;0;9.09;13.64;4.55;0;0;0;0;0;0;4.55;0;0;0;0;0;4.55;0
"Updates:
My regular gig has seen daily doubling of #Covid_19  admits. My second gig has slightly lower numbers, but every patient I have to x-ray now causes me a tiny panic. 
I'm not totally scared coming to work every night, but the tiny panic attacks I have every night...";"Updates:
My regular gig has seen daily doubling of #Covid_19  admits. My second gig has slightly lower numbers, but every patient I have to x-ray now causes me a tiny panic. 
I'm not totally scared coming to work every night, but the tiny panic attacks I have every night...";PP;UN;PP;PP;PP;PP;PP;Round1;1;49;32.77;1;99;1;16.33;18.37;93.88;69.39;51.02;12.24;12.24;12.24;0;0;0;0;0;18.37;4.08;6.12;6.12;10.2;4.08;4.08;2.04;16.33;12.24;16.33;2.04;0;2.04;0;18.37;6.12;12.24;2.04;2.04;0;0;2.04;6.12;0;8.16;0;8.16;8.16;0;8.16;8.16;0;0;0;2.04;2.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.04;0;0;2.04;0;0;6.12;6.12;2.04;0;4.08;0;0;0;0;4.08;0;0;0;0;0;0;0;0;10.2;6.12;0;2.04;4.08;2.04;0;0;10.2;2.04;8.16;4.08;0;0;0;0;0;24.49;10.2;4.08;0;0;2.04;8.16;0
Last night I dreamt I was in the middle of a zombie apocalypse. Woke after being bitten by a zombie toddler in a fully blown panic attack. I’m guessing COVID-19 is praying on my mind. Stay safe. Hugs to anyone in a similar position #COVID19  #StayHomeSaveLives  #MentalHealth;Last night I dreamt I was in the middle of a zombie apocalypse. Woke after being bitten by a zombie toddler in a fully blown panic attack. I’m guessing COVID-19 is praying on my mind. Stay safe. Hugs to anyone in a similar position #COVID19  #StayHomeSaveLives  #MentalHealth;PP;PP;PP;PP;PP;?;PP;Round1;1;47;94.26;6.28;99;53.17;9.4;21.28;85.11;61.7;46.81;10.64;8.51;8.51;0;0;0;0;2.13;12.77;10.64;4.26;17.02;8.51;2.13;2.13;0;17.02;6.38;0;2.13;2.13;0;0;10.64;0;10.64;2.13;0;0;4.26;2.13;2.13;0;10.64;6.38;4.26;4.26;0;4.26;4.26;0;0;0;4.26;2.13;0;0;0;0;0;2.13;0;0;0;0;0;0;0;0;2.13;0;0;0;0;2.13;10.64;6.38;2.13;0;4.26;0;0;0;4.26;0;0;0;0;2.13;0;0;2.13;0;6.38;12.77;0;0;12.77;0;0;0;6.38;4.26;4.26;2.13;0;0;0;0;0;19.15;8.51;0;0;0;2.13;8.51;0
